county_fips,places_access2,places_bphigh,places_chd,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_lpa,places_mhlth,places_obesity,places_stroke
19049,5.6,28.5,4.4,19.2,8.5,8.3,6.2,12.9,7.7,5.3,19.2,14.6,32.4,2.3
19051,9.3,31.8,5.8,22.7,9.7,14.1,11.8,19.5,11.0,7.7,26.8,18.8,37.8,3.0
19053,8.5,31.6,6.1,22.4,10.6,15.1,13.9,19.7,11.6,8.4,26.8,18.6,41.7,3.2
19055,7.5,30.6,5.6,21.3,9.5,12.7,10.8,17.4,10.0,7.2,25.8,18.2,39.8,2.9
19057,7.8,29.8,5.5,22.5,9.8,14.0,11.7,17.9,11.3,7.7,26.5,18.2,34.8,2.9
19059,6.1,29.3,5.0,20.6,8.5,9.9,8.1,14.7,8.5,6.0,21.5,16.6,37.6,2.6
19061,6.7,27.4,5.1,20.3,8.8,11.6,9.5,15.5,9.4,6.6,21.8,16.8,34.9,2.7
19063,9.5,32.1,5.8,21.0,10.0,14.2,11.8,18.6,11.5,7.9,26.2,18.1,43.2,3.0
19065,7.9,32.1,5.8,21.5,10.1,14.2,12.3,18.7,11.2,7.8,27.4,18.2,39.0,3.0
19067,7.8,31.0,5.7,21.9,9.8,13.2,11.4,17.6,10.7,7.5,25.4,18.2,40.0,2.9
19069,10.7,31.9,6.1,21.7,10.9,16.0,13.4,20.1,12.6,8.5,28.2,18.3,40.9,3.1
19071,7.1,30.6,5.4,21.9,9.3,11.7,9.9,16.9,9.7,6.8,23.4,17.8,40.0,2.8
19073,7.6,30.9,5.6,22.2,9.8,12.8,11.1,18.1,10.4,7.4,25.8,18.4,36.0,2.9
19075,6.2,29.2,5.0,21.0,8.6,9.7,7.7,14.6,8.5,5.9,22.1,17.2,37.5,2.5
19077,6.9,30.0,5.2,21.0,9.1,11.2,9.2,15.9,9.3,6.6,23.9,17.4,37.2,2.7
19079,8.1,30.5,5.3,20.9,9.5,12.0,9.4,16.5,9.9,6.9,23.8,17.0,36.6,2.7
19081,8.0,30.8,5.5,21.9,9.6,12.6,10.4,17.9,10.1,7.1,26.5,17.6,42.5,2.8
19083,8.0,31.6,5.6,21.6,9.9,13.1,11.3,17.8,10.6,7.5,25.2,18.0,39.2,2.9
